Ημέρα,Ώρα Έναρξης,Ώρα Λήξης,Μάθημα,Διδάσκων,Αίθουσα
Δευτέρα,17:00,19:00,Επεξεργασία Ομιλίας και Ήχου,Καρύδης Ιωάννης,Αίθουσα 1
Τρίτη,13:00,15:00,Ηλεκτρονική Διακυβέρνηση,Κουρουθανάσης Παναγιώτης,Αίθουσα 2
Τρίτη,15:00,17:00,Παράλληλος Προγραμματισμός,Στεφανιδάκης Μιχαήλ,Εργαστήριο Αρεταίος
Τρίτη,17:00,19:00,Αποθήκες Δεδομένων και Εξόρυξης Γνώσης,Έξαρχος Θέμης,Αίθουσα 2
Τετάρτη,9:00,11:00,Κοινωνικός και Σημασιολογικός Ιστός,Μυλωνάς Φοίβος,Αίθουσα 1
Τετάρτη,11:00,13:00,Ηλεκτρονική Διακυβέρνηση,Κουρουθανάσης Παναγιώτης,Αίθουσα 2
Τετάρτη,13:00,15:00,Αποθήκες Δεδομένων και Εξόρυξης Γνώσης,Κερμανίδου Κάτια,Εργαστήριο Γαληνός
Τετάρτη,17:00,19:00,Παράλληλος Προγραμματισμός,Στεφανιδάκης Μιχαήλ,Εργαστήριο Αρεταίος
Πέμπτη,15:00,17:00,Κοινωνικός και Σημασιολογικός Ιστός,Στεφανιδάκης Μιχαήλ,Εργαστήριο Αρεταίος
Πέμπτη,17:00,19:00,Επεξεργασία Ομιλίας και Ήχου,Καρύδης Ιωάννης,Εργαστήριο Γαληνός